Term 1, CommitIndex -1, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 1, CommitIndex 0, VotedFor 0
Term 2, CommitIndex 0, VotedFor 2
Term 30, CommitIndex 1, VotedFor 2
Term 32, CommitIndex 1, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 32, CommitIndex 2, VotedFor 2
Term 33, CommitIndex 2, VotedFor 0
Term 33, CommitIndex 3, VotedFor 0
Term 33, CommitIndex 3, VotedFor 0
Term 33, CommitIndex 3, VotedFor 0
Term 33, CommitIndex 3, VotedFor 0
Term 33, CommitIndex 3, VotedFor 0
Term 33, CommitIndex 3, VotedFor 0
Term 33, CommitIndex 4, VotedFor 0
Term 33, CommitIndex 4, VotedFor 0
Term 33, CommitIndex 4, VotedFor 0
Term 33, CommitIndex 4, VotedFor 0
Term 33, CommitIndex 4, VotedFor 0
Term 33, CommitIndex 4, VotedFor 0
Term 38, CommitIndex 4, VotedFor 0
Term 38, CommitIndex 5, VotedFor 0
Term 38, CommitIndex 5, VotedFor 0
Term 38, CommitIndex 5, VotedFor 0
Term 38, CommitIndex 5, VotedFor 0
